RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['46.03', '23.05', '23.63']"
GREENS ,"['41.60', '45.36', '5.67', '55.85']"
LAST_GREENS ,"['18.90', '15.97', '13.15']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.80', '43.12', '24.15']"
GREENS ,"['59.40', '46.35', '7.04', '61.36']"
LAST_GREENS ,"['1.10', '13.60', '7.64']"
RESULTS:,31.70,34.76,40.00

OFFSETS ,"['48.32', '23.05', '24.89']"
GREENS ,"['59.10', '59.37', '5.67', '55.98']"
LAST_GREENS ,"['1.40', '1.96', '13.02']"
RESULTS:,11.83,46.86,51.00

OFFSETS ,"['46.07', '23.05', '23.63']"
GREENS ,"['41.04', '45.36', '5.67', '55.98']"
LAST_GREENS ,"['19.46', '15.97', '13.02']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.02', '23.05', '23.40']"
GREENS ,"['24.35', '45.50', '5.67', '56.07']"
LAST_GREENS ,"['36.15', '15.84', '12.93']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.07', '23.05', '23.63']"
GREENS ,"['24.35', '45.36', '5.67', '55.98']"
LAST_GREENS ,"['36.15', '15.97', '13.02']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.07', '23.05', '23.39']"
GREENS ,"['24.24', '45.36', '5.48', '56.08']"
LAST_GREENS ,"['36.26', '16.16', '12.92']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.01', '23.05', '23.41']"
GREENS ,"['25.42', '45.77', '5.67', '55.98']"
LAST_GREENS ,"['35.08', '15.56', '13.02']"
