GREENS ,"['57.76', '37.18', '10.52', '46.99']"
LAST_GREENS ,"['2.74', '19.30', '22.01']"
RESULTS:,14.64,12.28,12.67

OFFSETS ,"['35.39', '40.12', '40.17']"
GREENS ,"['57.27', '41.74', '10.50', '46.99']"
LAST_GREENS ,"['3.23', '14.76', '22.01']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.40', '40.12', '40.17']"
GREENS ,"['57.76', '41.80', '10.52', '46.99']"
LAST_GREENS ,"['2.74', '14.68', '22.01']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.40', '40.12', '40.31']"
GREENS ,"['57.77', '41.73', '8.16', '46.99']"
LAST_GREENS ,"['2.73', '17.11', '22.01']"
RESULTS:,13.23,11.64,11.33

OFFSETS ,"['35.40', '40.07', '40.17']"
GREENS ,"['57.74', '41.73', '10.52', '47.12']"
LAST_GREENS ,"['2.76', '14.75', '21.88']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.40', '40.06', '40.17']"
GREENS ,"['57.76', '41.73', '10.52', '47.10']"
LAST_GREENS ,"['2.74', '14.75', '21.90']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.36', '42.80', '40.17']"
GREENS ,"['57.21', '41.74', '8.21', '46.99']"
LAST_GREENS ,"['3.29', '17.05', '22.01']"
RESULTS:,13.18,11.28,12.00

OFFSETS ,"['35.36', '42.80', '40.17']"
GREENS ,"['57.26', '41.74', '8.33', '46.99']"
LAST_GREENS ,"['3.24', '16.93', '22.01']"
RESULTS:,15.28,13.04,11.33

OFFSETS ,"['35.40', '40.12', '40.10']"
GREENS ,"['58.62', '41.74', '10.54', '46.99']"
LAST_GREENS ,"['1.88', '14.72', '22.01']"
RESULTS:,14.78,13.03,10.00

OFFSETS ,"['35.40', '40.07', '40.30']"
GREENS ,"['57.76', '41.73', '10.63', '47.11']"
LAST_GREENS ,"['2.74', '14.64', '21.89']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.36', '42.80', '40.31']"
GREENS ,"['57.21', '41.74', '8.21', '46.99']"
LAST_GREENS ,"['3.29', '17.05', '22.01']"
RESULTS:,13.18,11.28,12.00

OFFSETS ,"['35.40', '42.81', '40.17']"
GREENS ,"['57.76', '41.80', '8.21', '46.99']"
LAST_GREENS ,"['2.74', '16.99', '22.01']"
RESULTS:,15.28,13.04,11.33

OFFSETS ,"['35.40', '40.06', '40.31']"
GREENS ,"['58.62', '41.73', '10.50', '47.12']"
LAST_GREENS ,"['1.88', '14.77', '21.88']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.36', '40.12', '40.17']"
GREENS ,"['57.22', '41.74', '8.38', '46.99']"
LAST_GREENS ,"['3.28', '16.88', '22.01']"
