LAST_GREENS ,"['7.84', '17.96', '11.21']"
RESULTS:,9.89,9.45,7.67

OFFSETS ,"['25.51', '29.76', '40.70']"
GREENS ,"['51.79', '45.78', '3.13', '58.18']"
LAST_GREENS ,"['8.71', '18.09', '10.82']"
RESULTS:,13.87,13.26,9.67

OFFSETS ,"['25.92', '29.66', '40.37']"
GREENS ,"['9.20', '45.54', '3.81', '59.26']"
LAST_GREENS ,"['51.30', '17.65', '9.74']"
RESULTS:,18.95,15.99,24.00

OFFSETS ,"['21.44', '33.74', '43.42']"
GREENS ,"['25.66', '45.90', '3.85', '57.73']"
LAST_GREENS ,"['34.84', '17.24', '11.27']"
RESULTS:,14.51,13.82,14.00

OFFSETS ,"['21.26', '29.76', '40.70']"
GREENS ,"['51.79', '45.78', '3.13', '58.18']"
LAST_GREENS ,"['8.71', '18.09', '10.82']"
RESULTS:,12.92,12.24,9.33

OFFSETS ,"['25.98', '33.74', '40.69']"
GREENS ,"['25.71', '45.90', '3.85', '57.73']"
LAST_GREENS ,"['34.79', '17.24', '11.27']"
RESULTS:,14.77,13.57,11.67

OFFSETS ,"['21.37', '34.15', '40.83']"
GREENS ,"['9.84', '45.91', '3.13', '57.79']"
LAST_GREENS ,"['50.66', '17.96', '11.21']"
RESULTS:,9.56,9.10,9.00

OFFSETS ,"['23.05', '33.83', '43.58']"
GREENS ,"['11.54', '45.53', '3.85', '57.01']"
LAST_GREENS ,"['48.96', '17.62', '11.99']"
RESULTS:,11.23,10.47,8.67

OFFSETS ,"['21.44', '29.83', '43.42']"
GREENS ,"['25.66', '45.90', '3.85', '57.73']"
LAST_GREENS ,"['34.84', '17.24', '11.27']"
RESULTS:,15.00,14.20,12.50

OFFSETS ,"['21.37', '33.74', '40.75']"
GREENS ,"['53.58', '45.90', '3.85', '57.79']"
LAST_GREENS ,"['6.92', '17.25', '11.21']"
RESULTS:,14.18,13.51,9.50

OFFSETS ,"['21.43', '29.76', '43.50']"
GREENS ,"['9.24', '45.91', '3.13', '57.79']"
LAST_GREENS ,"['51.26', '17.96', '11.21']"
RESULTS:,13.01,12.28,9.00

OFFSETS ,"['25.69', '34.34', '43.44']"
GREENS ,"['25.69', '45.54', '3.84', '57.66']"
LAST_GREENS ,"['34.81', '17.63', '11.34']"
RESULTS:,14.78,14.07,9.50

OFFSETS ,"['21.37', '33.98', '40.99']"
GREENS ,"['9.84', '45.56', '3.87', '57.66']"
LAST_GREENS ,"['50.66', '17.57', '11.34']"
RESULTS:,11.13,10.46,9.00

OFFSETS ,"['21.44', '34.14', '43.51']"
GREENS ,"['9.84', '45.91', '3.85', '57.79']"
LAST_GREENS ,"['50.66', '17.24', '11.21']"
RESULTS:,13.65,12.81,9.67

OFFSETS ,"['26.53', '29.39', '43.44']"
GREENS ,"['9.94', '45.34', '3.82', '57.74']"
LAST_GREENS ,"['50.56', '17.84', '11.26']"
RESULTS:,12.60,11.90,8.67

OFFSETS ,"['25.47', '37.79', '40.81']"
GREENS ,"['9.17', '45.45', '3.13', '57.19']"
LAST_GREENS ,"['51.33', '18.42', '11.81']"
RESULTS:,9.42,8.73,10.33

OFFSETS ,"['25.48', '34.15', '40.84']"
GREENS ,"['9.85', '45.45', '3.87', '57.72']"
LAST_GREENS ,"['50.65', '17.68', '11.28']"
RESULTS:,10.99,10.43,9.67

OFFSETS ,"['25.54', '29.66', '43.41']"
GREENS ,"['9.21', '45.53', '3.85', '57.73']"
LAST_GREENS ,"['51.29', '17.62', '11.27']"
RESULTS:,13.45,12.69,8.33

OFFSETS ,"['21.43', '33.98', '43.39']"
GREENS ,"['5.47', '45.54', '3.87', '57.66']"
LAST_GREENS ,"['55.03', '17.60', '11.34']"
RESULTS:,12.74,12.02,9.00

OFFSETS ,"['23.03', '33.82', '43.42']"
GREENS ,"['11.66', '45.53', '3.12', '57.01']"
LAST_GREENS ,"['48.84', '18.35', '11.99']"
RESULTS:,12.05,11.02,9.33

OFFSETS ,"['26.52', '33.98', '43.31']"
GREENS ,"['26.42', '45.53', '3.82', '57.73']"
LAST_GREENS ,"['34.08', '17.64', '11.27']"
RESULTS:,12.21,11.32,11.00

OFFSETS ,"['25.47', '33.84', '43.44']"
GREENS ,"['9.17', '45.45', '3.13', '57.19']"
LAST_GREENS ,"['51.33', '18.42', '11.81']"
RESULTS:,10.83,10.13,9.00

OFFSETS ,"['21.37', '29.75', '40.83']"
GREENS ,"['52.87', '45.91', '3.13', '57.79']"
LAST_GREENS ,"['7.63', '17.96', '11.21']"
RESULTS:,9.89,9.45,7.67

OFFSETS ,"['21.37', '29.61', '40.83']"
GREENS ,"['52.87', '45.91', '3.13', '57.79']"
LAST_GREENS ,"['7.63', '17.96', '11.21']"
RESULTS:,9.89,9.45,7.67

OFFSETS ,"['21.37', '34.17', '40.83']"
GREENS ,"['9.84', '45.74', '3.16', '57.80']"
LAST_GREENS ,"['50.66', '18.11', '11.20']"
RESULTS:,9.56,9.10,9.00

OFFSETS ,"['25.48', '34.15', '40.84']"
GREENS ,"['9.85', '45.45', '3.89', '57.72']"
LAST_GREENS ,"['50.65', '17.66', '11.28']"
RESULTS:,10.99,10.43,9.67

OFFSETS ,"['21.37', '29.76', '40.71']"
GREENS ,"['24.92', '45.91', '3.13', '57.72']"
LAST_GREENS ,"['35.58', '17.96', '11.28']"
RESULTS:,12.92,12.24,9.33

OFFSETS ,"['25.81', '29.78', '43.42']"
GREENS ,"['11.66', '45.52', '3.85', '57.08']"
LAST_GREENS ,"['48.84', '17.63', '11.92']"
RESULTS:,11.21,10.39,9.00

OFFSETS ,"['21.37', '29.76', '40.83']"
GREENS ,"['52.66', '45.91', '3.13', '57.79']"
LAST_GREENS ,"['7.84', '17.96', '11.21']"
RESULTS:,9.89,9.45,7.67

