OFFSETS ,"['21.03', '59.20', '7.74']"
RESULTS:,8.21,7.59,7.67

OFFSETS ,"['40.99', '26.72', '24.62']"
GREENS ,"['34.11', '45.69', '1.09', '51.73']"
LAST_GREENS ,"['26.39', '20.22', '17.27']"
RESULTS:,8.44,7.80,7.67

OFFSETS ,"['42.58', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.03', '46.26']"
LAST_GREENS ,"['26.37', '20.29', '22.74']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.59', '26.58', '23.31']"
GREENS ,"['34.13', '45.67', '1.08', '46.34']"
LAST_GREENS ,"['26.37', '20.25', '22.66']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.58', '23.31']"
GREENS ,"['34.11', '45.68', '1.03', '51.52']"
LAST_GREENS ,"['26.39', '20.29', '17.48']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.66', '26.73', '23.31']"
GREENS ,"['34.13', '45.67', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '20.25', '17.59']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['41.01', '26.59', '24.61']"
GREENS ,"['34.13', '45.64', '1.09', '51.40']"
LAST_GREENS ,"['26.37', '20.27', '17.60']"
RESULTS:,8.44,7.80,7.67

OFFSETS ,"['42.58', '26.72', '23.31']"
GREENS ,"['34.13', '45.67', '1.03', '46.26']"
LAST_GREENS ,"['26.37', '20.30', '22.74']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.59', '26.58', '23.31']"
GREENS ,"['34.13', '45.67', '1.08', '46.42']"
LAST_GREENS ,"['26.37', '20.25', '22.58']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.40', '26.58', '23.31']"
GREENS ,"['34.13', '45.75', '1.03', '51.37']"
LAST_GREENS ,"['26.37', '20.22', '17.63']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.62', '26.58', '23.59']"
GREENS ,"['34.13', '45.68', '1.09', '46.65']"
LAST_GREENS ,"['26.37', '20.23', '22.35']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.73', '23.31']"
GREENS ,"['34.13', '45.67', '1.03', '46.26']"
LAST_GREENS ,"['26.37', '20.30', '22.74']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.03', '46.69']"
LAST_GREENS ,"['26.37', '20.29', '22.31']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['40.95', '26.71', '24.63']"
GREENS ,"['34.13', '44.80', '1.03', '51.51']"
LAST_GREENS ,"['26.37', '21.17', '17.49']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['42.59', '26.71', '23.31']"
GREENS ,"['34.11', '44.84', '1.03', '51.69']"
LAST_GREENS ,"['26.39', '21.13', '17.31']"
RESULTS:,8.63,8.04,8.33

OFFSETS ,"['42.62', '26.72', '23.31']"
GREENS ,"['34.11', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.39', '20.23', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['41.05', '26.71', '24.61']"
GREENS ,"['34.13', '44.80', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '21.11', '17.59']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['42.60', '26.58', '23.31']"
GREENS ,"['34.11', '45.68', '1.08', '51.68']"
LAST_GREENS ,"['26.39', '20.23', '17.32']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['41.05', '26.71', '24.61']"
GREENS ,"['34.13', '44.80', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '21.11', '17.59']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['42.62', '26.73', '23.31']"
GREENS ,"['34.13', '45.68', '1.03', '46.70']"
LAST_GREENS ,"['26.37', '20.29', '22.30']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.58', '23.30']"
GREENS ,"['34.13', '45.67', '1.03', '46.26']"
LAST_GREENS ,"['26.37', '20.30', '22.74']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.59']"
GREENS ,"['34.13', '45.67', '1.09', '46.65']"
LAST_GREENS ,"['26.37', '20.25', '22.35']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.62', '26.58', '23.60']"
GREENS ,"['34.13', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.37', '20.23', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.60', '26.71', '23.35']"
GREENS ,"['34.13', '46.53', '1.09', '51.33']"
LAST_GREENS ,"['26.37', '19.39', '17.67']"
RESULTS:,8.39,7.81,7.67

OFFSETS ,"['42.62', '26.58', '23.31']"
GREENS ,"['34.13', '45.67', '1.08', '46.62']"
LAST_GREENS ,"['26.37', '20.25', '22.38']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.59', '26.58', '23.31']"
GREENS ,"['34.11', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.39', '20.23', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.59', '26.41']"
GREENS ,"['34.13', '47.70', '1.03', '46.26']"
LAST_GREENS ,"['26.37', '18.27', '22.74']"
RESULTS:,12.04,10.83,10.67

OFFSETS ,"['42.00', '26.58', '23.31']"
GREENS ,"['34.13', '46.43', '1.09', '51.48']"
LAST_GREENS ,"['26.37', '19.48', '17.52']"
RESULTS:,8.07,7.50,7.67

OFFSETS ,"['42.62', '26.58', '23.58']"
GREENS ,"['34.11', '45.68', '1.03', '46.19']"
LAST_GREENS ,"['26.39', '20.29', '22.81']"
RESULTS:,10.79,9.67,8.67

OFFSETS ,"['49.91', '26.58', '23.35']"
GREENS ,"['34.13', '46.44', '1.08', '51.77']"
LAST_GREENS ,"['26.37', '19.48', '17.23']"
RESULTS:,8.21,7.59,7.67

OFFSETS ,"['40.29', '26.58', '23.35']"
GREENS ,"['34.13', '46.53', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '19.38', '17.59']"
RESULTS:,8.20,7.66,8.00

OFFSETS ,"['42.62', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.08', '46.71']"
LAST_GREENS ,"['26.37', '20.23', '22.29']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.62', '26.58', '17.51']"
GREENS ,"['34.13', '45.43', '1.03', '46.64']"
LAST_GREENS ,"['26.37', '20.55', '22.36']"
RESULTS:,16.73,13.29,15.00

OFFSETS ,"['42.57', '26.58', '21.14']"
GREENS ,"['34.13', '45.68', '1.09', '46.69']"
LAST_GREENS ,"['26.37', '20.23', '22.31']"
RESULTS:,10.00,9.09,8.00

OFFSETS ,"['42.58', '26.57', '23.31']"
GREENS ,"['34.11', '46.43', '1.03', '46.26']"
LAST_GREENS ,"['26.39', '19.54', '22.74']"
RESULTS:,9.90,9.02,8.00

OFFSETS ,"['42.62', '26.57', '23.32']"
GREENS ,"['34.13', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.37', '20.23', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.62', '26.72', '23.31']"
GREENS ,"['34.11', '45.68', '1.03', '46.38']"
LAST_GREENS ,"['26.39', '20.29', '22.62']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['45.58', '26.58', '23.31']"
GREENS ,"['34.13', '45.67', '1.09', '43.56']"
LAST_GREENS ,"['26.37', '20.24', '25.44']"
RESULTS:,13.42,11.46,14.00

OFFSETS ,"['42.58', '26.58', '23.59']"
GREENS ,"['34.13', '45.67', '1.03', '46.25']"
LAST_GREENS ,"['26.37', '20.30', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.58', '23.57']"
GREENS ,"['34.13', '45.67', '1.03', '46.26']"
LAST_GREENS ,"['26.37', '20.30', '22.74']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.33']"
GREENS ,"['34.13', '46.43', '1.09', '51.66']"
LAST_GREENS ,"['26.37', '19.48', '17.34']"
RESULTS:,8.39,7.81,7.67

OFFSETS ,"['42.57', '26.58', '23.60']"
GREENS ,"['34.13', '45.68', '1.08', '46.67']"
LAST_GREENS ,"['26.37', '20.24', '22.33']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '1.03', '46.61']"
LAST_GREENS ,"['26.37', '20.29', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.62', '26.72', '23.32']"
GREENS ,"['34.11', '45.68', '1.03', '46.72']"
LAST_GREENS ,"['26.39', '20.29', '22.28']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.59', '23.31']"
GREENS ,"['34.13', '45.68', '0.89', '46.63']"
LAST_GREENS ,"['26.37', '20.43', '22.37']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.59', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.08', '46.29']"
LAST_GREENS ,"['26.37', '20.23', '22.71']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.00', '26.58', '23.59']"
GREENS ,"['34.13', '45.67', '1.09', '46.25']"
LAST_GREENS ,"['26.37', '20.24', '22.75']"
RESULTS:,9.75,8.80,8.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.06', '45.68', '1.02', '46.70']"
LAST_GREENS ,"['26.44', '20.30', '22.30']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.73', '23.31']"
GREENS ,"['34.11', '45.67', '1.08', '46.23']"
LAST_GREENS ,"['26.39', '20.25', '22.77']"
RESULTS:,10.79,9.67,8.67

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.06', '45.68', '1.09', '46.70']"
LAST_GREENS ,"['26.44', '20.23', '22.30']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.59', '23.31']"
GREENS ,"['34.13', '45.68', '1.08', '46.26']"
LAST_GREENS ,"['26.37', '20.24', '22.74']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.72', '23.31']"
GREENS ,"['34.11', '45.68', '1.10', '51.50']"
LAST_GREENS ,"['26.39', '20.22', '17.50']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.59', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.08', '46.60']"
LAST_GREENS ,"['26.37', '20.23', '22.40']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '22.74']"
GREENS ,"['34.13', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.37', '20.23', '22.39']"
RESULTS:,10.13,9.18,8.33

OFFSETS ,"['42.59', '26.58', '23.31']"
GREENS ,"['34.13', '46.45', '0.89', '51.99']"
LAST_GREENS ,"['26.37', '19.66', '17.01']"
RESULTS:,8.21,7.57,7.67

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '1.08', '46.64']"
LAST_GREENS ,"['26.37', '20.24', '22.36']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.59', '23.31']"
GREENS ,"['34.13', '45.68', '1.08', '46.25']"
LAST_GREENS ,"['26.37', '20.24', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.58', '23.31']"
GREENS ,"['34.13', '45.67', '1.08', '46.27']"
LAST_GREENS ,"['26.37', '20.25', '22.73']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.59', '26.58', '23.31']"
GREENS ,"['34.11', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.39', '20.23', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['41.99', '26.58', '23.31']"
GREENS ,"['34.11', '45.70', '1.10', '51.48']"
LAST_GREENS ,"['26.39', '20.20', '17.52']"
RESULTS:,8.23,7.66,7.67

OFFSETS ,"['42.57', '26.58', '23.59']"
GREENS ,"['34.13', '45.67', '1.09', '46.27']"
LAST_GREENS ,"['26.37', '20.25', '22.73']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.06', '45.68', '1.02', '46.70']"
LAST_GREENS ,"['26.44', '20.30', '22.30']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.00', '26.58', '23.31']"
GREENS ,"['34.13', '46.43', '1.09', '51.47']"
LAST_GREENS ,"['26.37', '19.49', '17.53']"
RESULTS:,8.07,7.50,7.67

OFFSETS ,"['42.00', '26.58', '23.31']"
GREENS ,"['34.13', '46.43', '1.09', '51.33']"
LAST_GREENS ,"['26.37', '19.48', '17.67']"
RESULTS:,8.07,7.50,7.67

OFFSETS ,"['42.58', '26.58', '23.59']"
GREENS ,"['34.13', '45.67', '1.03', '46.79']"
LAST_GREENS ,"['26.37', '20.31', '22.21']"
RESULTS:,10.27,9.27,7.67

OFFSETS ,"['45.57', '26.58', '23.32']"
GREENS ,"['39.50', '45.68', '1.08', '46.70']"
LAST_GREENS ,"['21.00', '20.23', '22.30']"
RESULTS:,9.88,8.99,8.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.37', '20.23', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.00', '26.58', '23.31']"
GREENS ,"['34.13', '45.66', '1.03', '51.47']"
LAST_GREENS ,"['26.37', '20.31', '17.53']"
RESULTS:,8.23,7.66,7.67

OFFSETS ,"['42.62', '26.72', '23.32']"
GREENS ,"['34.13', '45.67', '1.09', '47.11']"
LAST_GREENS ,"['26.37', '20.24', '21.89']"
RESULTS:,10.27,9.27,7.67

OFFSETS ,"['42.58', '26.58', '23.31']"
GREENS ,"['34.13', '45.61', '1.09', '46.31']"
LAST_GREENS ,"['26.37', '20.30', '22.69']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.58', '23.58']"
GREENS ,"['34.13', '45.67', '1.03', '46.25']"
LAST_GREENS ,"['26.37', '20.30', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '4.77', '46.60']"
LAST_GREENS ,"['26.37', '16.55', '22.40']"
RESULTS:,12.72,11.72,9.00

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '0.89', '46.25']"
LAST_GREENS ,"['26.37', '20.43', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '0.89', '46.25']"
LAST_GREENS ,"['26.37', '20.43', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.00', '26.58', '23.31']"
GREENS ,"['34.13', '46.43', '1.09', '51.47']"
LAST_GREENS ,"['26.37', '19.48', '17.53']"
RESULTS:,8.07,7.50,7.67

OFFSETS ,"['41.96', '26.59', '23.31']"
GREENS ,"['34.13', '46.41', '1.08', '51.47']"
LAST_GREENS ,"['26.37', '19.51', '17.53']"
RESULTS:,8.07,7.50,7.67

OFFSETS ,"['42.58', '26.58', '23.32']"
GREENS ,"['34.13', '46.51', '0.89', '46.61']"
LAST_GREENS ,"['26.37', '19.60', '22.39']"
RESULTS:,9.90,9.02,8.00

OFFSETS ,"['42.00', '26.58', '23.31']"
GREENS ,"['34.13', '46.43', '1.09', '51.49']"
LAST_GREENS ,"['26.37', '19.48', '17.51']"
RESULTS:,8.07,7.50,7.67

OFFSETS ,"['42.01', '26.58', '23.31']"
GREENS ,"['34.13', '46.43', '1.09', '46.58']"
LAST_GREENS ,"['26.37', '19.48', '22.42']"
RESULTS:,10.30,9.43,7.67

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.69', '1.10', '46.64']"
LAST_GREENS ,"['26.37', '20.21', '22.36']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.00', '26.58', '23.31']"
GREENS ,"['34.13', '46.41', '1.09', '51.32']"
LAST_GREENS ,"['26.37', '19.51', '17.68']"
RESULTS:,8.07,7.50,7.67

OFFSETS ,"['41.29', '26.58', '23.30']"
GREENS ,"['35.10', '45.68', '1.08', '46.25']"
LAST_GREENS ,"['25.40', '20.23', '22.75']"
RESULTS:,10.55,9.51,8.67

OFFSETS ,"['42.00', '26.58', '23.31']"
GREENS ,"['34.13', '46.43', '1.10', '51.49']"
LAST_GREENS ,"['26.37', '19.47', '17.51']"
RESULTS:,8.07,7.50,7.67

OFFSETS ,"['42.57', '26.58', '23.59']"
GREENS ,"['34.13', '45.68', '0.88', '46.27']"
LAST_GREENS ,"['26.37', '20.44', '22.73']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.00', '26.58', '23.32']"
GREENS ,"['34.13', '46.43', '1.09', '51.49']"
LAST_GREENS ,"['26.37', '19.48', '17.51']"
RESULTS:,8.07,7.50,7.67

OFFSETS ,"['42.57', '26.58', '23.60']"
GREENS ,"['34.13', '45.67', '1.02', '46.27']"
LAST_GREENS ,"['26.37', '20.31', '22.73']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.62', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '0.88', '46.70']"
LAST_GREENS ,"['26.37', '20.44', '22.30']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '0.89', '46.61']"
LAST_GREENS ,"['26.37', '20.43', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.31']"
GREENS ,"['34.13', '45.67', '0.89', '46.61']"
LAST_GREENS ,"['26.37', '20.44', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '0.89', '46.26']"
LAST_GREENS ,"['26.37', '20.43', '22.74']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.72', '23.31']"
GREENS ,"['34.13', '45.67', '1.08', '46.61']"
LAST_GREENS ,"['26.37', '20.25', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '0.89', '46.25']"
LAST_GREENS ,"['26.37', '20.42', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.00', '26.58', '23.31']"
GREENS ,"['34.13', '46.43', '1.09', '46.06']"
LAST_GREENS ,"['26.37', '19.48', '22.94']"
RESULTS:,12.64,10.94,15.33

OFFSETS ,"['42.57', '26.58', '23.61']"
GREENS ,"['34.13', '45.67', '1.02', '46.27']"
LAST_GREENS ,"['26.37', '20.31', '22.73']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '0.89', '46.25']"
LAST_GREENS ,"['26.37', '20.42', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.00', '26.58', '23.32']"
GREENS ,"['34.13', '46.44', '1.09', '51.49']"
LAST_GREENS ,"['26.37', '19.48', '17.51']"
RESULTS:,8.07,7.50,7.67

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '0.89', '46.25']"
LAST_GREENS ,"['26.37', '20.43', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.61', '1.09', '46.59']"
LAST_GREENS ,"['26.37', '20.30', '22.41']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '0.89', '46.27']"
LAST_GREENS ,"['26.37', '20.43', '22.73']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '0.89', '46.60']"
LAST_GREENS ,"['26.37', '20.42', '22.40']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.58', '23.31']"
GREENS ,"['34.13', '45.67', '0.88', '46.27']"
LAST_GREENS ,"['26.37', '20.44', '22.73']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '0.89', '46.25']"
LAST_GREENS ,"['26.37', '20.43', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '0.90', '46.31']"
LAST_GREENS ,"['26.37', '20.42', '22.69']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.57', '26.58', '23.58']"
GREENS ,"['34.13', '45.68', '1.09', '46.25']"
LAST_GREENS ,"['26.37', '20.23', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.60', '26.59', '23.31']"
GREENS ,"['34.13', '46.41', '1.02', '51.32']"
LAST_GREENS ,"['26.37', '19.57', '17.68']"
RESULTS:,8.39,7.81,7.67

OFFSETS ,"['41.96', '26.72', '23.31']"
GREENS ,"['34.13', '45.68', '1.02', '51.32']"
LAST_GREENS ,"['26.37', '20.29', '17.68']"
RESULTS:,8.23,7.66,7.67

OFFSETS ,"['42.57', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.09', '46.25']"
LAST_GREENS ,"['26.37', '20.23', '22.75']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['41.95', '26.58', '23.31']"
GREENS ,"['34.13', '45.63', '1.09', '46.31']"
LAST_GREENS ,"['26.37', '20.28', '22.69']"
RESULTS:,9.75,8.80,8.33

OFFSETS ,"['42.00', '26.58', '23.32']"
GREENS ,"['34.13', '46.43', '0.88', '46.33']"
LAST_GREENS ,"['26.37', '19.69', '22.67']"
RESULTS:,10.30,9.43,7.67

OFFSETS ,"['42.57', '26.58', '23.29']"
GREENS ,"['34.13', '45.67', '1.09', '46.31']"
LAST_GREENS ,"['26.37', '20.24', '22.69']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['41.97', '26.58', '23.32']"
GREENS ,"['34.13', '46.44', '1.02', '46.34']"
LAST_GREENS ,"['26.37', '19.55', '22.66']"
RESULTS:,10.30,9.43,7.67

